Date,VIX,SPX
1/3/1990,18.19,358.76
1/4/1990,19.22,355.66
1/5/1990,20.11,352.2
1/8/1990,20.26,353.79
1/9/1990,22.2,349.62
1/10/1990,22.44,347.31
1/11/1990,20.05,348.53
1/12/1990,24.64,339.93
1/15/1990,26.34,337
1/16/1990,24.18,340.75
1/17/1990,24.16,337.4
1/18/1990,24.34,338.19
1/19/1990,22.5,339.15
1/22/1990,26.7,330.38
1/23/1990,24.72,331.61
1/24/1990,25.39,330.26
1/25/1990,25.63,326.08
1/26/1990,26.28,325.8
1/29/1990,26.44,325.2
1/30/1990,27.25,322.98
1/31/1990,25.36,329.08
2/1/1990,24.87,328.79
2/2/1990,24.32,330.92
2/5/1990,24.54,331.85
2/6/1990,24.69,329.66
2/7/1990,24.29,333.75
2/8/1990,23.77,332.96
2/9/1990,23.69,333.62
2/12/1990,24.38,330.08
2/13/1990,23.76,331.02
2/14/1990,22.05,332.01
2/15/1990,19.71,334.89
2/16/1990,20.78,332.72
2/20/1990,22.78,327.99
2/21/1990,23.89,327.67
2/22/1990,22.54,325.7
2/23/1990,23.69,324.15
2/26/1990,23.56,328.67
2/27/1990,22.69,330.26
2/28/1990,21.99,331.89
3/1/1990,21.9,332.74
3/2/1990,21.34,335.54
3/5/1990,22.03,333.74
3/6/1990,20.55,337.93
3/7/1990,19.1,336.95
3/8/1990,19.74,340.27
3/9/1990,20.3,337.93
3/12/1990,20.07,338.67
3/13/1990,21.05,336
3/14/1990,19.65,336.87
3/15/1990,18.81,338.07
3/16/1990,17.62,341.91
3/19/1990,18.29,343.53
3/20/1990,19.06,341.57
3/21/1990,20.1,339.74
3/22/1990,22.74,335.69
3/23/1990,20.46,337.22
3/26/1990,19.59,337.63
3/27/1990,21.01,341.5
3/28/1990,19.77,342
3/29/1990,18.46,340.79
3/30/1990,19.73,339.94
4/2/1990,22.84,338.7
4/3/1990,20.44,343.64
4/4/1990,22.03,341.09
4/5/1990,21.21,340.73
4/6/1990,21.76,340.08
4/9/1990,22.3,341.37
4/10/1990,21.69,342.07
4/11/1990,17.73,341.92
4/12/1990,19.8,344.34
4/16/1990,20.75,344.74
4/17/1990,20.38,344.68
4/18/1990,22.67,340.72
4/19/1990,22.46,338.09
4/20/1990,23.33,335.12
4/23/1990,24.16,331.05
4/24/1990,21.7,330.36
4/25/1990,20.86,332.03
4/26/1990,20.25,332.92
4/27/1990,22.19,329.11
4/30/1990,19.52,330.8
5/1/1990,18.43,332.25
5/2/1990,19.32,334.48
5/3/1990,17.81,335.57
5/4/1990,17.28,338.39
5/7/1990,17.65,340.53
5/8/1990,18.49,342.01
5/9/1990,18.64,342.86
5/10/1990,18.59,343.82
5/11/1990,19.81,352
5/14/1990,20.14,354.75
5/15/1990,19.49,354.28
5/16/1990,17.71,354
5/17/1990,17.27,354.47
5/18/1990,17.2,354.64
5/21/1990,16.72,358
5/22/1990,17.84,358.43
5/23/1990,17.18,359.29
5/24/1990,17.7,358.41
5/25/1990,17.32,354.58
5/29/1990,18.75,360.65
5/30/1990,17.44,360.86
5/31/1990,17.37,361.23
6/1/1990,17.09,363.16
6/4/1990,18.39,367.4
6/5/1990,18.97,366.64
6/6/1990,17.42,364.96
6/7/1990,16.88,363.15
6/8/1990,17.58,358.71
6/11/1990,16.34,361.63
6/12/1990,16.6,366.25
6/13/1990,17.38,364.9
6/14/1990,17.4,362.9
6/15/1990,15.9,362.91
6/18/1990,17.71,356.88
6/19/1990,15.23,358.47
6/20/1990,15.27,359.1
6/21/1990,14.72,360.47
6/22/1990,19.36,355.43
6/25/1990,17.06,352.31
6/26/1990,16.29,352.06
6/27/1990,16,355.14
6/28/1990,16.18,357.63
6/29/1990,15.5,358.02
7/2/1990,16.26,359.54
7/3/1990,16.11,360.16
7/5/1990,17.25,355.68
7/6/1990,16.41,358.42
7/9/1990,16.66,359.52
7/10/1990,16.92,356.49
7/11/1990,16.68,361.23
7/12/1990,17.06,365.44
7/13/1990,17.09,367.31
7/16/1990,16.75,368.95
7/17/1990,16.66,367.52
7/18/1990,18.9,364.22
7/19/1990,18.56,365.32
7/20/1990,15.63,361.61
7/23/1990,23.68,355.31
7/24/1990,21.79,355.79
7/25/1990,20.19,357.09
7/26/1990,20.26,355.91
7/27/1990,21.12,353.44
7/30/1990,21.16,355.55
7/31/1990,21.11,356.15
8/1/1990,21.64,355.52
